Instance,opt-cost,RANS-cost
Golden_1,5623.47,15132.695837620475
Golden_13,857.189,2649.4088847533194
Golden_14,1080.55,3317.4101778688105
Golden_15,1337.2677,4285.231641613724
Golden_16,1611.2769688292835,5584.243255922875
Golden_17,707.756,1668.2706604554144
Golden_18,995.133,2493.154818959638
Golden_2,8404.61,24178.138753636184
Golden_9,579.702026,1505.4755307395067
Li_22,14499.04468,50141.1465970183
Li_25,16665.7,57956.207384384994
Loggi-n401-k23,336903.0,592738.0
M-n101-k10,820.0,2065.346272855276
M-n121-k7,1034.0,2687.7763051096863
M-n151-k12,1015.0,2923.7776398639967
M-n200-k16,1274.0,3672.5519758002447
M-n200-k17,1275.0,3672.5519758002447
X-n101-k25,27591.0,39624.87955090029
X-n106-k14,26362.0,34524.040160918375
X-n110-k13,14971.0,33036.62255689322
X-n115-k10,12747.0,35551.53617732757
X-n120-k6,13332.0,33789.40335860343
X-n125-k30,55539.0,69797.11721715576
X-n129-k18,28940.0,45940.255363203876
X-n134-k13,10916.0,21471.022052060704
X-n139-k10,13590.0,38814.00232256596
X-n143-k7,15700.0,42653.979195623186
X-n148-k46,43448.0,63419.96905626517
X-n153-k22,21220.0,36745.37662339593
X-n157-k13,16876.0,31670.911262837195
X-n162-k11,14138.0,38669.8127504779
X-n167-k10,20557.0,42875.04284898954
X-n172-k51,45607.0,70097.10612376471
X-n176-k26,47812.0,82322.34642655432
X-n181-k23,25569.0,39411.2864093457
X-n186-k15,24145.0,44765.59587335091
X-n190-k8,16980.0,33752.88967945515
X-n195-k51,44225.0,73235.04876133757
X-n200-k36,58578.0,74431.85726120904
X-n204-k19,19565.0,48560.78011860639
X-n209-k16,30656.0,65019.4229163384
X-n223-k34,40437.0,76648.2102490274
X-n228-k23,25742.0,54280.81702246867
X-n233-k16,19230.0,57475.0574057659
X-n237-k14,27042.0,59335.52836301606
X-n242-k48,82751.0,131624.814273496
X-n247-k50,37274.0,60764.60643809399
X-n251-k28,38684.0,63664.27249548528
X-n256-k16,18839.0,46346.94618570531
X-n261-k13,26558.0,64651.75880943518
X-n266-k58,75478.0,115052.651872157
X-n270-k35,35291.0,81859.0167529428
X-n275-k28,21245.0,41388.679447754985
X-n280-k17,33503.0,82850.86345736252
X-n289-k60,95151.0,156229.79494692475
X-n294-k50,47161.0,99926.46631170074
X-n298-k31,34231.0,84315.72812827883
X-n303-k21,21736.0,59105.19257865496
X-n313-k71,94043.0,141087.02552924812
X-n322-k28,29834.0,79435.14147376949
X-n327-k20,27532.0,70612.06388864425
X-n336-k84,139111.0,217442.74225442173
X-n344-k43,42050.0,100937.43494224348
X-n351-k40,25896.0,63379.91233340737
X-n359-k29,51505.0,105483.0148589592
X-n376-k94,147713.0,201969.03226406063
X-n384-k52,65940.0,123691.8877191068
X-n393-k38,38260.0,83879.41570414783
X-n401-k29,66154.0,108012.12036424692
X-n420-k130,107798.0,164553.84668189334
X-n429-k61,65449.0,126301.34099564883
X-n439-k37,36391.0,92743.14681936507
X-n449-k29,55233.0,135552.45599655563
X-n469-k138,221824.0,302724.3216365577
X-n480-k70,89449.0,146563.73867599235
X-n491-k59,66483.0,151721.8854284758
X-n502-k39,69226.0,115958.57183104253
X-n524-k153,154593.0,246290.2299981286
X-n536-k96,94846.0,157750.92913076057
X-n573-k30,50673.0,90724.0193422076
X-n586-k159,190316.0,281247.7835408686
X-n599-k92,108451.0,208220.82557988228
X-n613-k62,59535.0,186964.56308819717
X-n627-k43,62164.0,130987.194990288
X-n641-k35,63684.0,155715.39901610833
X-n655-k131,106780.0,148427.50911905442
X-n685-k75,68205.0,186848.26056077797
X-n733-k159,136187.0,274706.1353183385
X-n749-k98,77269.0,170710.92390391944
X-n819-k171,158121.0,258380.44194800538
X-n876-k59,99299.0,217175.04418115053
X-n916-k207,329179.0,484036.9322708477
