Instance,opt-cost,AM-cost,ET-cost,2D-Ptr-cost,RANS-cost
Golden_1,5623.47 ,10554.012268508335,15132.695837620475,6990.4990392344425,5908.50596966189
Golden_13,857.19 ,1365.5652956279962,2649.4088847533194,1218.060964210566,935.2794019022565
Golden_14,1080.55 ,1895.217684697035,3317.4101778688105,1557.7994950649093,1211.108398460228
Golden_15,1337.27 ,4490.309887534506,4285.231641613724,2064.6145545120653,1502.4570540481363
Golden_16,1611.2769688292835,4253.779401838951,5584.243255922875,2491.182448440701,1823.2169572880257
Golden_17,707.76 ,1964.0138476742225,1668.2706604554144,924.0946915303202,786.7791596621213
Golden_18,995.13 ,3352.5957560044803,2493.154818959638,1372.163755592207,1136.6860998414083
Golden_2,8404.61 ,17912.231092889146,24178.138753636184,11975.801210416612,9221.65610037611
Golden_9,579.70 ,909.4824557871636,1505.4755307395067,740.4252485278085,649.2819308648875
Li_22,14499.04 ,37404.001061086565,50141.1465970183,22784.603895991284,15975.411168988245
Li_25,16665.70 ,44377.373377866104,57956.207384384994,27551.69236142623,18425.061498833253
Loggi-n401-k23,336903.00 ,501331.00 ,592738.00 ,398015.00 ,366623.00 
M-n101-k10,820.00 ,1218.6594554389499,2065.346272855276,1044.1178615393012,833.4252385411955
M-n121-k7,1034.00 ,1417.5114589138643,2687.7763051096863,1259.153138909751,1109.380391771127
M-n151-k12,1015.00 ,1747.260056857502,2923.7776398639967,1389.1387024751311,1134.4957510242689
M-n200-k16,1274.00 ,2214.3325567749816,3672.5519758002447,1771.5087822806227,1482.3184260128319
M-n200-k17,1275.00 ,2214.3325567749816,3672.5519758002447,1771.5087822806227,1482.3184260128319
X-n101-k25,27591.00 ,37783.16505383598,39624.87955090029,32428.53234510672,28529.188459687466
X-n106-k14,26362.00 ,30329.211376798063,34524.040160918375,27049.43271327828,25974.728795006293
X-n110-k13,14971.00 ,20411.71124008105,33036.62255689322,17712.05024850728,15769.48010884632
X-n115-k10,12747.00 ,20591.086288017003,35551.53617732757,16686.091832116308,14145.981417008657
X-n120-k6,13332.00 ,16880.23878754351,33789.40335860343,16102.969618346235,13789.80115985755
X-n125-k30,55539.00 ,71846.5499067741,69797.11721715576,64277.08612928929,57916.970792312895
X-n129-k18,28940.00 ,47667.19583310181,45940.255363203876,33096.36699192884,30111.428101877933
X-n134-k13,10916.00 ,17452.175205460193,21471.022052060704,12789.359713779346,12059.430849359565
X-n139-k10,13590.00 ,19800.792004114777,38814.00232256596,17622.89042262115,14971.774894610338
X-n143-k7,15700.00 ,28011.06220299284,42653.979195623186,20448.8463776345,17641.763523172354
X-n148-k46,43448.00 ,64641.734101849215,63419.96905626517,51999.02436839547,45422.6304565846
X-n153-k22,21220.00 ,29983.529843928536,36745.37662339593,25469.76722319731,25021.13344951343
X-n157-k13,16876.00 ,21840.21673906921,31670.911262837195,18897.714893653603,18389.759143536747
X-n162-k11,14138.00 ,19934.994431042327,38669.8127504779,18057.23913393358,15663.432798147218
X-n167-k10,20557.00 ,30791.258415571247,42875.04284898954,25559.47513135898,22649.787893074466
X-n172-k51,45607.00 ,66306.3311937279,70097.10612376471,59437.44231809496,47879.10899531084
X-n176-k26,47812.00 ,70442.65706282288,82322.34642655432,59876.17 ,53822.81935421609
X-n181-k23,25569.00 ,31058.14631911338,39411.2864093457,29043.314324718333,26638.007618334177
X-n186-k15,24145.00 ,35827.44327681171,44765.59587335091,29964.487986204764,26179.243337766038
X-n190-k8,16980.00 ,27596.43098137197,33752.88967945515,19770.773596676743,18448.506568860288
X-n195-k51,44225.00 ,84226.31204653534,73235.04876133757,56479.256948970295,46592.5412138034
X-n200-k36,58578.00 ,76700.61925742113,74431.85726120904,66947.10247589138,61334.12739067216
X-n204-k19,19565.00 ,28797.663540889047,48560.78011860639,23897.526618856013,21233.088596286096
X-n209-k16,30656.00 ,47404.588050052975,65019.4229163384,38449.214253611906,33307.858449317035
X-n223-k34,40437.00 ,80501.10385716819,76648.2102490274,49282.587373259594,43260.578514226865
X-n228-k23,25742.00 ,43555.78263003982,54280.81702246867,32699.03210416554,29903.647008453572
X-n233-k16,19230.00 ,39376.89322223475,57475.0574057659,26294.944546895054,21096.880445635707
X-n237-k14,27042.00 ,36579.06921192064,59335.52836301606,34720.48821154908,31433.499189919065
X-n242-k48,82751.00 ,221394.79249028003,131624.814273496,107408.910445784,86966.12065567724
X-n247-k50,37274.00 ,54516.28892897078,60764.60643809399,47707.83993695675,42930.43819827476
X-n251-k28,38684.00 ,56197.03746377378,63664.27249548528,46880.57789743777,41486.3538544285
X-n256-k16,18839.00 ,26854.20305144073,46346.94618570531,24934.928654790252,20972.927317947124
X-n261-k13,26558.00 ,48367.802981219145,64651.75880943518,36197.47330255216,30368.71050530256
X-n266-k58,75478.00 ,175446.49797406813,115052.651872157,89083.66228536055,79574.82411371844
X-n270-k35,35291.00 ,55327.93086437543,81859.0167529428,43996.565902357885,37668.24068125182
